전시실명,전시명,전시시작일자,전시종료일자,전시상태,장소명,주관기관명,작가명,작품명,관람시간,관람정보,전자책URL,전자책명,전시이미지URL,전시이미지명,전시영문명,전시영문내용
1관,Into Drawing 26 시선,2014-10-08,2014-10-26,종료,소마드로잉센터 전시실 (제5전시실),국민체육진흥공단 소마미술관,하태범 Taebum Ha,"조각, 사진, 드로잉 설치 등 10여점",10:00~18:00(입장마감 17:00)매주 월요일 휴관,메인 전시 (Water_천진난만) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/08/ca72b57d-4295-400f-9c2e-84fb2bd4836a.jpg,D2014_into drawing26_포스터.pdf_page_1.jpg,Into Drawing 26_White-Line of Sight,
1관,Into Drawing 25 유유자적,2014-09-12,2014-09-28,종료,소마드로잉센터 전시실(제5전시실),국민체육진흥공단 소마미술관,이윤진 Yunjin Lee,드로잉 10여점,10:00~18:00(입장마감 17:00)매주 월요일 및 추석당일 휴관,메인 전시 (Water_천진난만) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/08/ee000587-1d89-4c1c-9961-59662a26a641.jpg,D2014_into drawing25_포스터.jpg,Into Drawing 25_A Quiet Journey into Life,
1관,"Into Drawing 24 부정이 아닌 시치미, 긍정이 아닌 너스레",2014-08-15,2014-08-31,종료,소마드로잉센터 전시실(제5전시실),국민체육진흥공단 소마미술관,김은숙 Eunsook Kim,공간설치작품,10:00~18:00(입장마감 17:00)매주 월요일 및 추석당일 휴관,메인 전시 (Water_천진난만) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/08/302d38a0-35ef-4ab0-b288-7be36acc50c1.jpg,D2014_into drawing24_포스터.pdf_page_1.jpg,"Into Drawing 24_Feigned innocence rather than Negative, Idle remarks rather than Positive",
1관,Water_천진난만,2014-08-15,2014-10-26,종료,소마미술관 1~4 전시실 및 야외 공간,국민체육진흥공단 소마미술관,"강은수, 김연, 김창겸, 김창환, 박상화 ,박정선(1), 박정선(2), 백남준, 변경수, 부지현, 송창애, 안규철, 안종연, 원성원, 이기봉, 이상원, 이예린, 이용제, 정기엽, 폴 뷔리, 하원, 한호 총 22명","조각, 설치, 영상, 회화, 사진, 드로잉 등 총 40여점","10:00~18:00(입장마감 17:00)도슨트 시간 : [화~금] 오후 2시, 4시 [주말] 오전 11시, 오후 1시, 2시, 4시매주 월요일 및 추석 당일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원만 4세미만, 만 65세 이상, 국가유공자, 장애인 무료예술인 패스 소지자 및 대학교 학생증 소지자는 청소년 요금 적용",,,/manage/upload_files/display/2019/01/08/58609c86-4be4-4515-8b70-683fc8768c77.jpg,2014_Water-천진난만_포스터.pdf_page_1.jpg,WATER_INNOCENCE,
1관,작가재조명_긴 호흡,2014-05-30,2014-07-27,종료,"소마미술관 제 1~5 전시실, 중정",국민체육진흥공단 소마미술관,"김차섭, 전수천, 한애규 총 3명","회화, 드로잉, 도예, 영상, 설치 등 약 120점","10:00~18:00(입장마감 17:00)도슨트 시간 : [화~금] 오후 2시, 4시 [주말] 오전 11시, 오후 1시, 2시, 4시매주 월요일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원",,,/manage/upload_files/display/2019/01/15/7078b5b0-1988-472a-9084-4fd779ca54e8.jpg,작가재조명_긴 호흡.jpg,Artist Rediscovered_Deep Breaths,
1관,건축적인 조각_경계면과 잠재적 사이,2014-03-07,2014-05-11,종료,소마미술관 1~ 5전시실 및 미술관 건물 야외 및 잉여 공간,국민체육진흥공단 소마미술관,"공수경, 문경원, 박성연, 오인환, 유영호, 이길래, 이수진, 이창훈, 장윤규, 정승운, 정재철, 정해련, 채우승, 천성명, 홍명섭, AnLstudio(안기현, 이민수, 신민재), Louise Bourgeois 이상 총 17명","입체, 설치, 미디어 작품 40여점","10:00~18:00(입장마감 17:00)도슨트 시간 : [화~금] 오후 2시, 4시 [주말] 오전 11시, 오후 1시, 2시, 4시매주 월요일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원",,,/manage/upload_files/display/2019/01/15/8d197bae-45c0-455b-a245-8d1901b98e84.jpg,건축적인 조각_경계면과 잠재적 사이.jpg,SPACE CRAFT - Interface and Potential Space,
1관,Into Drawing23 생성,2013-12-06,2013-12-22,종료,소마드로잉센터 전시실(제5전시실),국민체육진흥공단 소마미술관,유혜숙 Heysook Yoo,드로잉 10여점,10:00~18:00(입장마감 17:00)매주 월요일 휴관,메인 전시 (아시아 코드_空) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/08/7235a254-6f09-4464-8adf-58e549d20327.jpg,D2013_into drawing23_포스터.jpg,Into Drawing23_Becoming,
1관,Into Drawing 22 심리지리학적 동시대 추상 풍경화,2013-11-08,2013-11-24,종료,소마드로잉센터 전시실(제5전시실),국민체육진흥공단 소마미술관,손경화 Kyunghwa Shon,"드로잉, 유화, 입체 설치 등 20여점",10:00~18:00(입장마감 17:00)매주 월요일 휴관,메인 전시 (아시아 코드_空) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/08/e5f2c973-7312-4c3e-a11c-c8e659c2520e.jpg,D2013_into drawing22_포스터.jpg,Into Drawing 22_Psychogeographic Contemporary Abstract Landscapes,
1관,Into Drawing 21 매우 길거나 짧은,2013-10-11,2013-10-27,종료,소마드로잉센터 전시실(제5전시실),국민체육진흥공단 소마미술관,이창훈 Changhoon Lee,"영상, 음향, 설치 5점",10:00~18:00(입장마감 17:00)매주 월요일 휴관,메인 전시 (아시아 코드_空) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/08/6107e2b2-e5d9-429c-80d0-60497ed2e1f3.jpg,D2013_into drawing21_포스터.jpg,Into Drawing 21_Either Very Long or Short,
1관,Into Drawing 12 들을 순 없지만...,2010-12-29,2011-01-16,종료,소마미술관 드로잉센터전시실[6전시실],국민체육진흥공단 소마미술관,장형선 HyoungSun Chang,드로잉 설치,"10:00~18:00(입장마감 17:00)매주 월요일, 신정, 설날 당일 휴관","만 4세미만, 만 65세 이상, 국가유공자, 장애인 무료메인전시 (내일_오픈아카이브) 관람 시 무료 관람",,,/manage/upload_files/display/2019/01/08/7ce49c17-209c-4579-9411-7ad8fd6c38f8.jpg,D2010_IntoDrawing12_포스터_초청장.pdf_page_1.jpg,"Into Drawing 12_Can hear you, but...",
1관,아시아 코드_개최,2013-10-11,2013-12-22,종료,소마미술관 제 1~4 전시실,국민체육진흥공단 소마미술관,"권부문, 김태호, 노상균, 육근병, 홍승희(이상 한국), 야나기 유키노리, 미야지마 타츠오,와타나베 고(이상 일본), 팡 리쥔, 가오 레이(이상 중국), 수보드 굽타(인도),준 응우옌-하츠시바(베트남), 수잔 빅터(싱가포르) (총 13명)","회화, 드로잉, 사진, 영상, 설치 등 약 30여점",10:00~18:00(입장마감 17:00)매주 월요일 휴관,"성인, 대학생 3,000원, 청소년(13~18세) 2,000원, 어린이(12세이하) 1,000원성인, 대학생 1,500원, 청소년(13~18세) 1,000원, 어린이(12세이하) 500원",,,/manage/upload_files/display/2019/01/15/58234c85-888f-4f78-b6c5-caf41947f856.jpg,아시아코드_공전.JPG,Asia Code_Zero,
1관,"힘, 아름다움은 어디에 있는가?",2013-07-12,2013-09-22,종료,소마미술관 전관 및 야외전시공간,국민체육진흥공단 소마미술관,"강애란, 고명근, 김신일, 백남준, 서도호, 성동훈, 정현,  최태훈, 우웨이샨, 왕중, 인샤오펑, 오마키 신지, 안테나, 팀랩, 류포춘 총 15명(팀)","조각, 미디어, 설치 등 총 29점","10:00~18:00(입장마감 17:00)도슨트 시간 : [화~금] 오후 2시, 4시 [주말] 오전 11시, 오후 1시, 2시, 4시매주 월요일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원",,,/manage/upload_files/display/2019/01/09/c6cbeef0-4401-43ba-abf6-48d16ec2a8db.jpg,힘전-포스터최종.pdf_page_1.jpg,"POWER, WHERE DOES THE BEAUTY LIE?",
1관,구_체_경_ 힐링 그라운드,2013-04-19,2013-06-23,종료,소마미술관 전관,국민체육진흥공단 소마미술관,"곽남신, 김무준, 김성윤, 김형석, 김용익, 조정화, 백남준, 김현숙, 조해영, 서동주, 윤영석, 유영호, 사윤택, 최무영, 이용덕, 이상원, 이길우, 변윤희, 최영록, 오원배, 데이비드 걸스타인, 베한트 할프헤르 등 총 22명","회화, 조각, 설치, 미디어 등 총 60여점","10:00~18:00(입장마감 17:00)도슨트 시간 : [화~금] 오후 2시, 4시 [주말] 오전 11시, 오후 1시, 2시, 4시매주 월요일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원",,,/manage/upload_files/display/2019/01/15/baf5510a-af74-41f0-9155-13018c666581.jpg,2013_구체경_포스터.pdf_page_1.jpg,Sphere Body Landscape_Healing Ground,
1관,중력과 시간_움직이는 조각,2013-02-06,2013-03-31,종료,소마미술관 전관,국민체육진흥공단 소마미술관,"노해율, 박종영, 신성환, 신정필, 에브리웨어, 왕지원, 천민정, 최선호, 최종운, 하광석, 한진수 등 총 11명","조각, 설치, 영상 등 30여점","10:00~18:00(입장마감 17:00)도슨트 시간 : [목, 금] 오후 2시, 4시 [주말] 오전 11시, 오후 1시, 2시, 4시매주 월요일 및 설날 당일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원",,,/manage/upload_files/display/2019/01/08/d2b0ceec-59e8-462c-a815-e777b0d43992.jpg,2013_중력과시간_포스터.pdf_page_1.jpg,Gravity and Time_Moving Sculpture,
1관,Into Drawing 19 돌연변이의 왕국,2012-11-02,2012-11-18,종료,소마미술관 제5전시실,국민체육진흥공단 소마미술관,다발킴 Dabal Kim,"드로잉, 설치 약 10여점",10:00~18:00(입장마감 17:00)매주 월요일 휴관,메인전시 (몸의 사유) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/08/b1156be8-ad1d-4443-98e9-b1980d1e609d.jpg,D2012_intodrawing19_포스터.jpg,Into Drawing 19_Kingdom of Mutation,
1관,몸의 사유_Thoughts on Body,2012-10-05,2012-12-16,종료,소마미술관 제1~4전시실,국민체육진흥공단 소마미술관,"권오상, 김기라, 김준, 데비한, 문성원, 변웅필, 육근병, 이동재, 이병호, 이용백, 이형구, 최수앙(총12명)","드로잉, 회화, 조각, 영상, 설치 등 50여점",10:00~18:00(입장마감 17:00)매주 월요일 휴관,"성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원문화의 날(10월 20일) 무료관람Soma가는 날(10월 27일, 11월 24일) 무료관람",,,/manage/upload_files/display/2019/01/08/0e1f2176-c3a8-4138-bc41-c9cd72f2b50e.jpg,2012_몸의사유_포스터.jpg,Thoughts on Body,
1관,Into Drawing 02,2007-10-18,2007-11-25,종료,소마미술관,국민체육진흥공단,"권자연, 류승환, 홍윤정","평면, 설치 약 10여 점",10:00~18:00(입장마감 17:00)매주 월요일 휴관,,,,/manage/upload_files/xhbt/image/2007110918105729831.jpg,2007110918105729831.jpg,Into Drawing 02,
1관,Into Drawing 20 길이 된 사람들,2012-11-29,2012-12-16,종료,소마미술관 제5전시실,국민체육진흥공단 소마미술관,김순임 Soonim Kim,"드로잉,설치 약 10여점",10:00~18:00(입장마감 17:00)매주 월요일 휴관,"성인 3,000원 / 청소년 2,000원 / 어린이 1,000원메인전시 (몸의 사유) 관람 시 무료 관람",,,/manage/upload_files/display/2019/01/08/7bf8b02e-611f-4a40-b5b6-a8bc9ae39e0a.jpg,D2012_인투드로잉20_포스터.jpg,Into Drawing 20_On the Road,
1관,Into Drawing 18 무너지는 산,2012-10-05,2012-10-21,종료,소마미술관 제6전시실,국민체육진흥공단 소마미술관,아비탈 크나아티 Avital Cnaani,종이드로잉 10여점,10:00~18:00(입장마감 17:00)매주 월요일 휴관,메인전시 (몸의 사유) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/08/7d5de693-4d4f-4e37-a7b9-65c2a9396d1a.jpg,D2012_into drawing 18_포스터.pdf_page_1.jpg,Into Drawing 18_Falling Mountains,
1관,Drawing Now 06 핏줄,2012-07-06,2012-09-16,종료,소마드로잉센터 전시실,국민체육진흥공단 소마미술관,안형남 Hyongnam Ahn,"조각, 드로잉, 설치 등 약 20여점",10:00~18:00(입장마감 17:00)매주 수요일 10:00~20:00(입장마감 19:00)매주 월요일 휴관,"성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원",,,/manage/upload_files/display/2019/01/08/4b2662a3-9449-4c80-96ae-db0428095a74.jpg,D2012_드로잉나우06_포스터.pdf_page_1.jpg,Drawing Now 06_Blood Line,
1관,백남준 탄생 80주년기념 특별전,2012-07-06,2012-09-16,종료,"소마미술관(제1~4전시실, 백남준 비디오아트홀), 몽촌해자(올림픽공원 내)",국민체육진흥공단 소마미술관,백남준,"미디어아트, 드로잉, 판화 등 총 240여점",10:00~18:00(입장마감 17:00)매주 월요일 휴관,"성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원",,,/manage/upload_files/display/2019/01/15/8d50bb0e-b529-41f5-8102-9bdedbabcb99.jpg,백남준.jpg,Nam June Paik Spectrum,
1관,만화로 보는 세상,2012-04-06,2012-06-17,종료,소마미술관 전관,국민체육진흥공단 소마미술관,"박수동, 신문수, 윤승운, 이정문, 황주환, 기안84, 정필원, 홍작가(만화작가), 김성재, 김영호, 김은술, 김채원, 노준, 마리김, 배준성, 변대용, 신명환, 신이철, 신창용, 여동헌, 이동기, 이슬기, 이에스더, 임태규, 장파, 장형선, 최정유(현대미술작가) 등 총 27명","평면, 입체, 영상 등 총 100여점",10:00~18:00(입장마감 17:00)매주 월요일 휴관(월요일이 공휴일인 경우 개관),"성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원Soma 가는날(4월 28일, 5월 26일) 전체관람객 무료 입장",,,/manage/upload_files/display/2019/01/08/9af8abfb-8b7e-493e-aacf-8e0fba45df0b.jpg,2012_만화로보는세상_포스터.jpg,CARTOON WORLD,
1관,한국조각 다시보기_ 그 진폭과 진동,2011-12-09,2012-02-26,종료,소마미술관 전관,국민체육진흥공단 소마미술관,"강진모, 구본주, 김기철, 김종영, 김주영, 김 준, 김태곤, 박충흠, 손정은, 심문섭, 안수진, 엄태정, 원인종, 이기칠, 이소영, 이용덕, 정재철, 최만린, 최병상, 최의순, 최종태, 함연주 등 총 22명",조각작품 총 22점,"10:00~18:00(입장마감 17:00)매주 월요일, 1월 1일,  설날 당일 휴관","성인 3,000원, 청소년(13~24세) 2,000원성인 1,500원, 청소년(13~24세) 1,000원어린이(12세미만) 무료",,,/manage/upload_files/display/2019/01/15/3355cf92-403e-4ca3-a41e-cf9b2b8be73b.jpg,한국조각 다시 보기2.jpg,Reviewing Korean Sculpture_Amplitude and vibration,
1관,Into Drawing 17 당신의 위안이 되어 드릴께요,2011-11-04,2011-11-20,종료,소마드로잉센터 전시실(제6전시실),국민체육진흥공단 소마미술관,윤성지 Sungji Yun,"오브제, 설치 작품 5점",10:00~18:00(입장마감 17:00)매주 월요일 휴관,메인전시 (조각가의 드로잉) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/08/12693bad-acba-46d3-bc1f-54188ab5d204.jpg,D2011_인투드로잉17_포스터.pdf_page_1.jpg,Into Drawing 17_Ill be Your Comfort,
1관,Into Drawing 16 깊이에의 강요,2011-10-07,2011-10-23,종료,소마드로잉센터 전시실(제6전시실),국민체육진흥공단 소마미술관,홍승희 Seunghee Hong,공간 설치 작품,10:00~18:00(입장마감 17:00)매주 월요일 및 추석 당일 휴관,메인전시 (조각가의 드로잉) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/08/ff810e5b-cdb0-484b-a12a-7d129c697247.jpg,D2011_인투드로잉16_포스터.pdf_page_1.jpg,Into Drawing 16_Der Zwangzur Tiefe,
1관,Into Drawing 15 순간을 벗다,2011-09-09,2011-09-25,종료,소마드로잉센터 전시실(제6전시실),국민체육진흥공단 소마미술관,이상민 Sangmin Lee,설치드로잉 약 10여 점,10:00~18:00(입장마감 17:00)매주 월요일 및 추석 당일 휴관,메인전시 (조각가의 드로잉) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/08/8b3b75c8-a412-4065-9523-d42d3fd3c8c3.jpg,D2011_인투드로잉15_포스터.pdf_page_1.jpg,Into Drawing 15_Out of Still,
1관,조각가의 드로잉,2011-09-09,2011-11-20,종료,소마미술관 제1~5전시실,국민체육진흥공단 소마미술관,"강은엽, 강태성, 김영원, 김청정, 박불똥, 박상숙, 박석원, 엄태정, 윤석남, 이승택, 이우환, 이종각, 이종빈, 이형구, 전준, 최만린, 최인수, 홍성도","드로잉, 조각, 설치 등 총 100여점",10:00~18:00(입장마감 17:00)매주 월요일 및 추석 당일 휴관,"성인 3,000원, 청소년(13~24세) 2,000원성인 1,500원, 청소년(13~24세) 1,000원어린이(12세이하) 무료",,,/manage/upload_files/display/2019/01/08/57e7c448-77c4-486b-9cbb-9c7405874035.jpg,2011_조각가의 드로잉_포스터.pdf_page_1.jpg,Sculptors Drawing,
1관,Trace Grace-한 소장가의 꿈. 길,2007-06-01,2007-07-04,종료,소마미술관,"소마미술관, 아트센터나비 / 국민체육진흥공단",,"회화, 판화, 조각 등 약 80여 점",10:00~18:00(입장마감 17:00)매주 월요일 휴관,,,,/manage/upload_files/display/2019/01/08/7c519d49-462f-46f3-b0c2-cd46c696c108.jpg,"2007_한소장가의 꿈,길_포스터.jpg",Trace and Grace,
1관,현대미술에 지대한 영향을 끼친 독일 예술가 요셉 보이스 : 멀티플,2011-06-16,2011-08-28,종료,소마미술관 제1~6전시실,"국민체육진흥공단, 매일경제",요셉 보이스(Joseph Beuys),"판화, 드로잉, 오브제, 필름 등 총 200여 점",10:00~18:00(입장마감 17:00)매주 월요일 휴관,"성인 9,000원, 청소년(13~24세) 7,000원, 어린이 5,000원성인 7,000원, 청소년(13~24세) 5,000원, 어린이 3,000원",,,/manage/upload_files/display/2019/01/08/6476c65e-49d9-4986-a220-e56740806e5d.jpg,2011_요셉보이스_포스터.pdf_page_2.jpg,Joseph Beuys_The Multiples,
1관,Drawing Now 04 그림에 새긴 문자,2011-04-01,2011-04-24,종료,소마미술관 제6전시실,국민체육진흥공단 소마미술관,김혜련 Heryun Kim,드로잉 35점,10:00~18:00(입장마감 17:00)매주 월요일 휴관,메인전시 (Type Wall) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/08/b55034c9-aa02-4ecb-be11-add5cc117606.jpg,D2011_드로잉나우04_포스터.pdf_page_1.jpg,Drawing Now 04_Letters Carved on Painting,
1관,Drawing Now 05 인간이 된다는 것,2011-05-05,2011-05-29,종료,소마미술관 제6전시실,국민체육진흥공단 소마미술관,레오나드 어소(Leonard Urso),회화 및 조각 드로잉 14점,10:00~18:00(입장마감 17:00)매주 월요일 휴관,메인전시 (Type Wall) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/08/26cb7ba6-0e4f-4728-8c54-ef764059c74b.jpg,D2011_드로잉나우05_포스터.pdf_page_1.jpg,Drawing Now 05_Being Human Being,
1관,Type Wall_공간이 된 작품들,2011-04-01,2011-05-29,종료,소마미술관 제1~5전시실,국민체육진흥공단 소마미술관,"김승영+오윤석, 박기원, 박기진+임승천, 이승애, 지하루+Graham Wakefield",장소특정적 설치작품 5점,10:00~18:00(입장마감 17:00)매주 월요일 휴관,"성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원",,,/manage/upload_files/display/2019/01/08/f44952ac-13c1-4f3b-bd38-a7b9ff8a9789.jpg,2011_Type Wall_포스터.jpg,type: wall,
1관,Into Drawing 14 그린하이츠,2011-02-24,2011-03-13,종료,소마미술관 드로잉센터전시실[6전시실],국민체육진흥공단 소마미술관,연기백 Kibaik Yuon,드로잉 설치 약 10여 점,10:00~18:00(입장마감 17:00)매주 월요일 휴관,"만 4세미만, 만 65세 이상, 국가유공자, 장애인 무료메인전시 (내일_오픈아카이브) 관람 시 무료 관람",,,/manage/upload_files/display/2019/01/08/04d494d5-403f-481a-8521-b6ff0fc25979.jpg,D2010_IntoDrawing14_포스터_초청장.pdf_page_1.jpg,Into Drawing 14_Greenheights,
1관,Into Drawing 11 보이지 않는 오브제,2010-12-02,2010-12-19,종료,소마미술관 드로잉센터전시실[6전시실],국민체육진흥공단 소마미술관,김병호 Byoungho Kim,드로잉 설치 약 10여 점,"10:00~18:00(입장마감 17:00)매주 월요일, 신정, 설날 당일 휴관","만 4세미만, 만 65세 이상, 국가유공자, 장애인 무료메인전시 (내일_오픈아카이브) 관람 시 무료 관람",,,/manage/upload_files/display/2019/01/08/d5b3e901-e71d-4596-b191-c9ea30fe30d2.jpg,D2010_IntoDrawing11_포스터_초청장.pdf_page_1.jpg,Into Drawing 11_Invisible Object,
1관,내일-오픈 아카이브_Tomorrow-Open Archive,2010-12-02,2011-03-13,종료,소마미술관 제1-5전시실,국민체육진흥공단 소마미술관,"권기범, 김건일, 김선희, 김송이, 김정향, 심래정, 박상아, 박정래, 안세은, 안재홍, 안현곤, 윤상렬, 윤소림, 윤예지, 이선주, 이소영, 이영민, 임재영, 전경화, 전지민, 정명국, 정현조, 조미영, 조원희, 조현서, 차영석, 최경주, 캐슬린 킹, 허남준","드로잉, 회화, 오브제, 설치 등 100여점","10:00~18:00(입장마감 17:00)매주 월요일, 신정, 설날 당일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원만 4세미만, 만 65세 이상, 국가유공자, 장애인 무료",,,/manage/upload_files/display/2019/01/08/d384d070-7fcc-4dc3-8d8b-3cce0682e425.jpg,2010_오픈아카이브_포스터.pdf_page_1.jpg,TOMORROW_OPEN ARCHIVE,
